,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),12,23,22,21,22,17,11,23,22,20,24,14,12,16,13,21,19,21,19,21,12,8,15,8,21,12,10,13,0,20,15,14,15,9,8,0,12,11,14,13,11,3,5,15,15,17,21,4,12,10,27,15,15,16,23,24,12,18,21,23,22,16,26,19,20,22,15,19,11,16,13,17,17,16,12,16,20,25,22,20,18,25,9,26,24,21,15,24,0,5
Gîte Michel Fagot,0,0,0,0,0,0,0,7,10,16,9,17,14,18,2,20,11,9,10,21,5,11,2,2,3,10,7,10,0,13,15,9,8,9,16,0,0,1,19,10,3,15,0,18,11,16,7,0,16,4,11,8,4,1,3,2,5,16,6,18,21,0,0,3,6,1,3,12,14,0,0,9,10,0,0,18,14,18,14,9,23,19,24,24,8,17,22,13,0,3
Refuge du Fioux,3,16,18,18,10,10,17,0,13,4,2,9,12,0,0,4,0,6,7,0,17,0,6,2,0,15,11,0,0,0,1,0,7,9,8,0,17,0,4,8,15,10,0,0,7,11,9,9,0,14,0,6,8,1,14,15,0,4,1,2,2,0,10,0,1,0,0,11,7,4,0,0,0,1,2,0,17,10,13,0,5,7,10,3,0,0,2,10,11,9
Auberge du Truc,0,0,0,0,0,0,0,0,5,4,13,0,0,1,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,4,1,1,6,0,1,8,3,4,0,7,6,2,1,2,0,0,0,7,2,0,2,3,0,4,0,0,2,4,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,5,0,0,8,0,0,3,6,2,7,0,0,7,0,4,8,8,0,4,7,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,2,9,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,10,8,0,0,0,0,8,8,0,0,2,1,0,0,1,0,2,0,12,14,7,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,2,0,0,0,3,0,0,0
Gîte le Pontet,45,42,46,56,58,51,4,31,27,27,32,43,36,19,0,8,3,13,30,10,3,0,0,0,0,6,4,0,0,0,2,0,0,4,0,0,0,3,2,27,13,0,3,0,0,1,10,7,0,3,0,0,4,5,1,4,6,9,0,48,38,7,6,1,0,1,14,5,0,0,0,0,1,39,35,11,0,11,0,0,20,50,6,3,22,3,20,45,48,29
Refuge de Nant Borrant,0,0,0,0,0,10,8,10,3,2,5,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
Refuge des Prés,0,0,0,0,0,0,0,3,10,8,0,14,1,1,0,9,0,8,1,11,0,0,6,2,5,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,3,0,1,0,0,2,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,1,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,21,8,9,5,8,1,4,1,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,3,2,0,0,0,1,0,12,0,0,0,4,16,6,4,0,0,0,0,0,0,0,4,7,0,9,0,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Les Chambres du Soleil,13,11,2,14,3,0,0,0,0,0,0,3,16,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge des Mottets,0,0,0,0,0,0,0,0,0,10,3,3,2,1,0,0,0,2,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,5,5,5,3,2,0,6,6,1,2,2,0,0,5,0,0,1,0,0,0,0,1,2,0,2,0,6,0,6,1,2,2,0,3,0,1,0,0,0,0,0,8,8,0,3,1,2,0,0,1,0,0,2,0,5,2,1,1,5,4,0,2,6,7,0,8,0,0,0,0,0,0,0,0
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,0,0,19,15,17,9,10,8,16,5,11,6,5,6,1,3,2,0,10,8,2,1,0,2,0,0,0,2,0,5,0,2,4,10,0,5,6,2,7,4,8,5,0,5,0,2,2,6,10,0,0,9,10,0,8,2,8,7,4,10,9,1,1,10,3,5,0,3,2,2,6,5,5,13,5,9,6,2,8,8,6,6,10,5
Gîte Le Moulin,26,24,27,25,17,28,24,12,6,25,10,15,15,3,19,1,4,2,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge la Boërne,0,1,29,29,27,29,22,19,31,24,3,23,7,1,2,6,5,2,4,0,3,3,0,0,0,0,2,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Cabane du Combal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rifugio Maison Vieille,0,0,0,0,0,0,0,0,0,15,10,9,2,6,17,0,3,2,0,1,0,1,5,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,1,1,2,13,0,0,0,1,0,0,0,2,10,0,1,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,1,0,2,7,1,0,0,0
