,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28
Chalet Les Méandres (ex Tupilak),25,25,23,24,25,20,21,21,21,17,17,18,21,12,18,21,13,18,19,11,20,14,15,16,23,17,25,21,12,18,21,24,18,20,19,19,22,17,21,18,18,22,25,20,13,22,20,23,22,22,29,20,24,20,27,26,19,21,25,25,25,25,27,21,22,23,22,19,24,24,23,25,22,19,19,18,23,23,22,24,23,27,13,27,27,23,24,21,10,11,5,0,22,22,25,22,23,19,24,25,19,22,22,17,22,15,23,23,17,25,23,25,21,16,21,22,18,15,25,25
Gîte Michel Fagot,0,0,0,0,0,0,0,0,11,13,13,17,18,17,9,27,24,11,19,25,11,8,15,1,10,31,9,22,5,15,16,21,13,18,26,0,1,10,24,19,15,20,0,27,0,19,18,0,18,10,9,22,11,6,7,18,8,18,13,20,31,17,6,6,8,9,20,20,29,10,7,24,13,5,4,29,19,30,9,20,28,21,28,32,21,26,13,28,19,24,15,0,25,15,22,14,14,18,23,19,30,33,26,3,32,32,18,17,17,17,17,10,17,17,0,0,0,0,0,0
Refuge du Fioux,5,20,20,20,16,16,20,13,15,9,1,14,18,10,6,4,6,10,10,9,18,14,10,10,1,18,18,2,0,0,9,12,8,11,16,4,15,4,8,14,18,20,0,3,12,11,16,16,1,19,15,18,14,2,16,20,6,6,9,18,17,8,14,2,2,9,6,17,11,17,0,3,6,20,18,20,20,16,18,3,10,15,20,6,7,10,8,20,18,17,20,19,14,15,11,20,8,5,5,0,3,4,6,9,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,14,6,14,5,8,11,4,8,0,2,0,10,9,0,2,0,1,0,0,5,1,2,19,0,14,0,0,5,1,1,0,3,4,0,6,1,3,1,0,0,2,0,11,0,0,0,1,0,12,0,0,12,3,15,0,6,1,0,0,0,1,0,0,1,1,1,2,1,1,11,0,0,4,0,4,0,6,0,2,0,1,11,14,11,0,0,4,1,2,0,2,9,0,11,2,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,12,14,14,14,4,6,7,8,6,14,7,0,4,14,12,14,11,3,0,0,3,1,11,8,0,0,0,0,0,3,4,0,0,0,0,0,7,3,0,0,0,0,2,6,0,5,0,0,0,0,0,0,3,8,4,0,4,7,2,1,0,0,10,0,12,14,14,5,0,14,13,8,14,10,8,7,0,0,6,4,14,5,14,14,11,0,0,0,0,4,0,0,0,8,0,0,0,5,0,12,3,14,14,12,7,0,0,0,0,0,0,0,0,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,9,2,3,0,0,2,1,0,0,2,0,0,1,2,6,2,0,1,0,0,2,0,0,6,2,0,0,10,1,0,4,0,0,0,8,0,0,0,3,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,64,54,61,61,64,60,34,50,50,43,53,53,41,36,28,22,15,50,47,32,0,12,3,0,16,22,26,0,0,0,0,37,29,29,0,0,0,0,0,43,30,0,1,0,3,16,26,7,10,3,3,0,44,37,15,8,4,1,8,43,54,16,25,14,1,3,30,14,41,24,13,0,12,54,55,12,2,27,7,0,44,59,32,12,52,12,40,52,61,41,31,26,1,0,1,20,28,22,9,0,3,49,34,59,4,16,1,45,52,64,62,38,64,52,64,64,62,47,42,64
Refuge de Nant Borrant,0,0,0,0,0,8,10,8,1,4,5,5,0,4,0,0,0,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,6,0,2,6,2,0,0,6,0,0,2,0,0,0,6,1,4,2,2,0,6,6,6,0,0,0,0,0,2,0,0,0,0,6,0,0,1,6,6,6,6,3,10,0,10,10,10,8,10,10,10,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,1,11,1,2,1,1,4,0,0,4,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,2,1,0,0,0,2,0,2,3,0,0,0,0,0,1,2,0,4,0,0,0,0,0,9,0,0,0,0,13,0,0,1,1,0,6,14,16,0,4,0,0,0,8,13,0,16,16,10,0,12,12,13,4,0,13,1,1,7,12,0,1,10,0,2,1,9,10,8,5,8,11,16,16,14,15,16,16,14,16,16,16,8
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,5,14,6,9,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,0,0,0,0,1,3,1,0,0,8,0,4,1,1,0,14,17,0,6,14,12,27,0,13,0,6,20,0,17,4,0,9,19,28,16,10,0,6,0,0,20,9,26,17,19,21,2,26,3,0,18,25,10,2,29,33,0,0,21,1,1,29,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,14,18,22,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,23,24,0,0,0,0,0,0,0,0
Les Chambres du Soleil,19,26,15,25,23,0,11,8,10,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,7,22,8,14,6,0,5,24
Refuge des Mottets,0,0,0,0,0,0,0,0,0,9,8,10,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,10,4,10,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,10,6,10,6,8,10,8,10,0,7,0,0,10,10,9,10,6,0,3,2,1,4,5,0,5,1,9,6,9,1,8,7,0,3,6,10,8,0,5,7,6,10,10,6,8,8,7,4,6,5,10,7,2,10,6,10,7,7,8,8,4,8,8,10,8,10,9,0,0,0,0,0,0,0,0,0,0,10,8,9,9,5,10,8,0,2,10,8,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,0,19,19,19,19,15,15,14,18,9,7,18,8,8,7,4,13,7,5,10,9,9,8,4,9,5,10,12,8,3,2,13,5,5,13,6,6,10,8,11,12,17,4,13,13,5,0,9,10,10,10,12,13,11,15,11,18,14,13,12,17,17,4,13,11,5,4,11,17,13,19,17,4,10,15,7,12,12,10,16,7,17,12,9,5,13,19,5,13,8,4,12,8,13,7,5,10,6,11,17,15,16,19,5,13,19,17,0,0,0,0,0,0,0
Gîte Le Moulin,28,25,28,28,21,28,28,25,18,26,26,23,28,25,25,22,8,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,6,5,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,11,1,0,0,4,0,4,1,0,0,0,5,0,10,0,0,0,2,3,0,0,1,0,0,0,0,4,0,16,8,6,0,25,23,26,28,24,28
Auberge la Boërne,0,1,29,31,27,31,29,26,2,28,12,27,26,26,15,9,6,0,0,11,6,8,6,8,10,10,6,2,10,10,10,6,10,10,0,10,4,4,9,0,6,10,9,8,6,10,0,6,0,0,0,6,5,10,2,4,8,11,8,2,0,8,10,0,0,16,8,8,5,10,4,8,0,8,8,10,9,10,12,10,4,1,24,10,2,24,17,0,0,18,4,0,13,30,0,11,17,9,11,13,6,0,0,10,10,10,16,9,17,8,26,8,18,24,13,14,31,31,31,29
Cabane du Combal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
