,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28
Chalet Les Méandres (ex Tupilak),12,23,22,21,22,17,11,23,22,20,24,14,12,16,13,21,19,21,19,19,12,5,15,7,20,12,10,5,0,19,10,11,14,8,8,3,6,7,12,8,5,2,0,10,11,11,14,4,10,12,26,13,14,13,20,20,15,17,19,22,22,20,24,5,15,12,12,18,8,11,8,12,8,0,5,14,10,21,19,20,17,24,11,26,17,15,11,20,0,0,0,0,16,10,20,17,17,8,6,20,11,22,11,11,16,0,1,20,17,23,21,23,19,12,18,22,19,19,21,25
Gîte Michel Fagot,0,0,0,0,0,0,0,7,10,16,9,17,14,18,2,20,13,7,12,18,4,10,12,2,9,10,8,6,0,13,12,11,8,8,19,0,2,0,14,5,0,8,0,17,9,16,6,0,14,6,5,2,0,5,9,0,4,15,6,15,18,0,0,0,6,0,2,8,13,1,0,0,6,0,0,16,8,12,13,4,19,19,23,24,7,13,19,4,0,2,2,2,15,8,10,4,8,5,11,9,17,24,12,0,20,13,18,10,13,8,17,9,5,15,0,0,0,0,0,0
Refuge du Fioux,3,16,18,18,10,10,17,0,13,4,2,9,12,0,0,4,0,6,8,0,17,3,8,0,0,15,10,2,2,1,1,0,1,9,9,0,12,2,4,3,14,8,0,0,0,9,7,8,0,14,0,4,6,0,8,17,0,0,0,3,0,0,5,2,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,5,10,1,0,0,1,3,3,7,0,4,6,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,5,4,13,0,0,1,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,5,0,0,8,0,0,3,6,2,7,0,0,7,0,4,8,8,0,8,7,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,3,0,2,1,2,0,5,2,4,2,0,2,2,0,0,0,1,4,1,2,0,0,2,0,2,1,4,0,4,0,2,2,2,2,0,2,1,2,1,1,0,0,4,2,1,0,0,0,0,1,0,0,0,1,2,0,0,1,4,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,45,42,46,56,58,51,4,31,27,27,32,43,36,19,0,8,3,12,30,10,0,0,0,0,0,6,6,0,0,0,0,0,3,0,1,10,1,0,12,30,12,0,0,0,0,4,3,0,0,0,4,0,1,0,7,7,3,6,1,40,32,0,0,0,2,0,11,0,4,0,18,1,8,39,29,3,5,6,0,0,12,42,3,0,14,0,17,33,41,13,11,1,13,9,0,0,0,0,0,10,0,41,26,40,0,1,0,7,40,61,44,12,51,48,58,60,59,48,27,55
Refuge de Nant Borrant,0,0,0,0,0,10,8,10,3,2,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,7,3,0,0,0,4,0,0,0,0,0,4,1,0,0,0,3,0,0,10,0,1,0,0,1,0,0,7,1,0,10,0,0,0,2,8,0,11,10,9,10,7,10,8,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,3,10,8,0,14,1,1,0,9,0,8,0,17,0,0,5,0,0,3,1,0,0,0,9,13,2,0,0,0,3,0,3,1,6,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,12,0,0,10,10,0,1,0,12,0,12,10,8,8,20,11,0,6,2,0,0,2,2,0,12,8,11,16,0,5,0
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,2,0,3,0,4,10,3,2,1,0,0,5,2,1,0,0,0,0,0,2,1,7,0,2,0,0,0,2,1,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,3,3,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,21,8,9,5,8,1,4,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,3,5,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0
Les Chambres du Soleil,13,11,2,14,3,0,0,0,0,0,0,3,16,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,6,4,0,0,0,0,0,2,0,0,0,0,1,6,0,2,3,0,3,0,0,17,2,2,0,0,2
