,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),14,23,22,21,22,20,14,27,22,19,22,20,19,20,19,21,22,21,19,21,14,9,17,16,21,12,13,18,0,21,17,15,13,13,10,6,15,15,17,15,15,9,10,10,17,14,20,12,19,13,27,17,15,16,26,26,12,14,21,23,24,22,27,20,22,23,20,19,22,18,14,21,20,18,18,12,18,27,22,20,19,25,12,28,29,26,19,25,0,8
Gîte Michel Fagot,0,0,0,0,0,0,0,12,7,15,12,18,14,24,5,23,4,8,12,21,7,2,6,2,3,18,9,10,0,16,16,17,10,9,16,0,0,0,22,14,9,18,0,26,5,17,14,0,16,2,14,8,5,1,0,4,3,18,12,18,26,2,0,0,7,4,4,12,16,0,0,12,11,0,0,18,16,18,14,13,25,20,24,27,19,20,23,17,3,4
Refuge du Fioux,4,16,18,18,10,10,17,2,13,4,2,13,13,0,2,0,0,6,8,0,17,1,5,0,0,13,13,0,0,0,1,1,7,11,10,0,18,0,4,12,18,14,0,3,7,9,12,14,0,15,0,8,10,0,14,17,5,4,5,2,13,1,10,0,2,0,2,11,7,11,2,4,0,8,2,9,19,16,13,0,5,7,10,4,2,0,0,12,13,10
Auberge du Truc,0,0,0,0,0,0,0,0,8,0,13,1,2,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,1,0,14,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,2,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
La Ferme à Piron,0,0,0,4,9,8,10,0,0,3,4,0,7,0,0,3,0,4,8,6,0,0,8,0,0,9,6,0,0,0,2,3,1,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,5,1,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,0,0,10,11,0,0,0,0,9,8,0,3,2,1,0,0,1,0,4,0,12,14,9,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,2,0,0,0,6,0,0,0
Gîte le Pontet,38,45,53,56,58,50,6,34,30,29,33,50,27,19,2,12,0,17,29,14,0,1,0,0,0,6,0,0,4,0,4,0,2,1,0,0,0,4,0,31,4,1,2,0,4,2,14,0,2,0,0,0,11,18,0,6,6,0,0,52,40,9,12,1,0,2,16,3,3,3,0,0,0,46,35,6,0,16,2,3,23,52,6,4,29,5,25,49,54,34
Refuge de Nant Borrant,0,0,0,0,0,10,10,10,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,12,10,8,8,5,6,0,8,7,6,0,5,4,0,1,2,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,1,0,1,1
